"key","title","author","journal","year"
"Chen2024","After opening the black box: Meta-dehumanization matters in algorithm recommendation aversion","Gewei Chen and Jianning Dang and Li Liu","Computers in Human Behavior","2024"
"Raees2024","From explainable to interactive AI: A literature review on current trends in human-AI interaction","Muhammad Raees and Inge Meijerink and Ioanna Lykourentzou and Vassilis-Javed Khan and Konstantinos Papangelis","International Journal of Human-Computer Studies","2024"
"Henrique2024","Trust in artificial intelligence: Literature review and main path analysis","Bruno Miranda Henrique and Eugene Santos","Computers in Human Behavior: Artificial Humans","2024"
"Schaap2024","The ABC of algorithmic aversion: not agent, but benefits and control determine the acceptance of automated decision-making","Schaap, Gabi and Bosse, Tibor and Hendriks Vettehen, Paul","AI \& SOCIETY","2024"
"NING2024114273","How transparency affects algorithmic advice utilization: The mediating roles of trusting beliefs","Xianzhang Ning and Yaobin Lu and Weimo Li and Sumeet Gupta","Decision Support Systems","2024"
"FINK2024108244","Let me decide: Increasing user autonomy increases recommendation acceptance","Lior Fink and Leorre Newman and Uriel Haran","Computers in Human Behavior","2024"
"KLINGBEIL2024108352","Trust and reliance on AI — An experimental study on the extent and costs of overreliance on AI","Artur Klingbeil and Cassandra Grützner and Philipp Schreck","Computers in Human Behavior","2024"
"HU2024108403","Too much light blinds: The transparency-resistance paradox in algorithmic management","Peng Hu and Yu Zeng and Dong Wang and Han Teng","Computers in Human Behavior","2024"
"CHEN2024108411","After opening the black box: Meta-dehumanization matters in algorithm recommendation aversion","Gewei Chen and Jianning Dang and Li Liu","Computers in Human Behavior","2024"
"RAEES2024103301","From explainable to interactive AI: A literature review on current trends in human-AI interaction","Muhammad Raees and Inge Meijerink and Ioanna Lykourentzou and Vassilis-Javed Khan and Konstantinos Papangelis","International Journal of Human-Computer Studies","2024"
"HENRIQUE2024100043","Trust in artificial intelligence: Literature review and main path analysis","Bruno Miranda Henrique and Eugene Santos","Computers in Human Behavior: Artificial Humans","2024"
"Aysolmaz2023","The public perceptions of algorithmic decision-making systems: Results from a large-scale survey","Banu Aysolmaz and Rudolf Müller and Darian Meacham","Telematics and Informatics","2023"
"Leichtmann2023","Effects of Explainable Artificial Intelligence on trust and human behavior in a high-risk decision task","Benedikt Leichtmann and Christina Humer and Andreas Hinterreiter and Marc Streit and Martina Mara","Computers in Human Behavior","2023"
"Westphal2023","Decision control and explanations in human-AI collaboration: Improving user perceptions and compliance","Monika Westphal and Michael Vössing and Gerhard Satzger and Galit B. Yom-Tov and Anat Rafaeli","Computers in Human Behavior","2023"
"Gazit2023","Choosing between human and algorithmic advisors: The role of responsibility sharing","Lior Gazit and Ofer Arazy and Uri Hertz","Computers in Human Behavior: Artificial Humans","2023"
"AYSOLMAZ2023101954","The public perceptions of algorithmic decision-making systems: Results from a large-scale survey","Banu Aysolmaz and Rudolf Müller and Darian Meacham","Telematics and Informatics","2023"
"LEICHTMANN2023107539","Effects of Explainable Artificial Intelligence on trust and human behavior in a high-risk decision task","Benedikt Leichtmann and Christina Humer and Andreas Hinterreiter and Marc Streit and Martina Mara","Computers in Human Behavior","2023"
"WESTPHAL2023107714","Decision control and explanations in human-AI collaboration: Improving user perceptions and compliance","Monika Westphal and Michael Vössing and Gerhard Satzger and Galit B. Yom-Tov and Anat Rafaeli","Computers in Human Behavior","2023"
"GAZIT2023100009","Choosing between human and algorithmic advisors: The role of responsibility sharing","Lior Gazit and Ofer Arazy and Uri Hertz","Computers in Human Behavior: Artificial Humans","2023"
"10.1371/journal.pone.0269454","Robo-advisor acceptance: Do gender and generation matter?","Figà-Talamanca, Gianna AND Tanzi, Paola Musile AND D’Urzo, Eleonora","PLOS ONE","2022"
"Figa-Talamanca2022","Robo-advisor acceptance: Do gender and generation matter?","Figà-Talamanca, Gianna AND Tanzi, Paola Musile AND D’Urzo, Eleonora","PLOS ONE","2022"
"Mahmud2022","What influences algorithmic decision-making? A systematic literature review on algorithm aversion","Hasan Mahmud and A.K.M. Najmul Islam and Syed Ishtiaque Ahmed and Kari Smolander","Technological Forecasting and Social Change","2022"
"Candrian2022","Rise of the machines: Delegating decisions to autonomous AI","Cindy Candrian and Anne Scherer","Computers in Human Behavior","2022"
"Chugunova2022","We and It: An interdisciplinary review of the experimental evidence on how humans interact with machines","Marina Chugunova and Daniela Sele","Journal of Behavioral and Experimental Economics","2022"
"MAHMUD2022121390","What influences algorithmic decision-making? A systematic literature review on algorithm aversion","Hasan Mahmud and A.K.M. Najmul Islam and Syed Ishtiaque Ahmed and Kari Smolander","Technological Forecasting and Social Change","2022"
"CANDRIAN2022107308","Rise of the machines: Delegating decisions to autonomous AI","Cindy Candrian and Anne Scherer","Computers in Human Behavior","2022"
"CHUGUNOVA2022101897","We and It: An interdisciplinary review of the experimental evidence on how humans interact with machines","Marina Chugunova and Daniela Sele","Journal of Behavioral and Experimental Economics","2022"
"Hoeddinghaus2021","The automation of leadership functions: Would people trust decision algorithms?","Miriam Höddinghaus and Dominik Sondern and Guido Hertel","Computers in Human Behavior","2021"
"Renier2021","To err is human, not algorithmic – Robust reactions to erring algorithms","Laetitia A. Renier and Marianne Schmid Mast","Computers in Human Behavior","2021"
"Shin2021","The effects of explainability and causability on perception, trust, and acceptance: Implications for explainable AI","Donghee Shin","International Journal of Human-Computer Studies","2021"
"HODDINGHAUS2021106635","The automation of leadership functions: Would people trust decision algorithms?","Miriam Höddinghaus and Dominik Sondern and Guido Hertel","Computers in Human Behavior","2021"
"RENIER2021106879","To err is human, not algorithmic – Robust reactions to erring algorithms","Laetitia A. Renier and Marianne Schmid Mast","Computers in Human Behavior","2021"
"SHIN2021102551","The effects of explainability and causability on perception, trust, and acceptance: Implications for explainable AI","Donghee Shin","International Journal of Human-Computer Studies","2021"
"Yeomans2019","Making sense of recommendations","Yeomans, Michael and Shah, Anuj and Mullainathan, Sendhil and Kleinberg, Jon","Journal of Behavioral Decision Making","2019"
"Shin2019","Role of fairness, accountability, and transparency in algorithmic affordance","Donghee Shin and Yong Jin Park","Computers in Human Behavior","2019"
"Logg2019","Algorithm appreciation: People prefer algorithmic to human judgment","Jennifer M. Logg and Julia A. Minson and Don A. Moore","Organizational Behavior and Human Decision Processes","2019"
"Kirchkamp2019","Sharing responsibility with a machine","Oliver Kirchkamp and Christina Strobel","Journal of Behavioral and Experimental Economics","2019"
"https://doi.org/10.1002/bdm.2118","Making sense of recommendations","Yeomans, Michael and Shah, Anuj and Mullainathan, Sendhil and Kleinberg, Jon","Journal of Behavioral Decision Making","2019"
"SHIN2019277","Role of fairness, accountability, and transparency in algorithmic affordance","Donghee Shin and Yong Jin Park","Computers in Human Behavior","2019"
"LOGG201990","Algorithm appreciation: People prefer algorithmic to human judgment","Jennifer M. Logg and Julia A. Minson and Don A. Moore","Organizational Behavior and Human Decision Processes","2019"
"KIRCHKAMP201925","Sharing responsibility with a machine","Oliver Kirchkamp and Christina Strobel","Journal of Behavioral and Experimental Economics","2019"
"doi:10.1287/mnsc.2016.2643","Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them","Dietvorst, Berkeley J. and Simmons, Joseph P. and Massey, Cade","Management Science","2018"
"Dietvorst2018","Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them","Dietvorst, Berkeley J. and Simmons, Joseph P. and Massey, Cade","Management Science","2018"
NA,NA,NA,NA,NA
